,UNDERWRITING_YEAR,TYPE_OF_COVER,PAYMENT_METHOD,SUM_INSURED,COMPANY_LOADINGS,COMMISION_RATE,LOADINGS,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,TRANSACTION_TYPE,AGENT_CONTRACT_CATEGORY,CLIENT_GENDER,CLIENT_MARITAL_STATUS,CLIENT_OCCUPATION,CLIENT_POLITICAL_PERSON_FLAG,HIGH_RISK_FLAG,CLIENT_NUMBER_OF_DEPENDENTS,CLIENT_SMOKER_FLAG,CLIENT_FAMILY_SIZE,ORIGINAL_UNDERWRITING_YEAR,POLICY_TERM,INSURED_TYPE,RENEWAL_TYPE,CO_INSURANCE,BODILY_INJURY_LIMIT,VEHICLE_MAKE,VEHICLE_YEAR,ADDITIONAL_PERILS,FOREIGN_USED,CUBIC_CENTIMETERS,VEHICLE_MODIFIED,SEATING_CAPACITY,ANTI_THEFT_DEVICE,LEFT_HAND_DRIVE,OPEN_RESTRICTED_FLAG,PA_COVERAGE,PA_DRIVER_INCLUDED,MOTOR_ASSIST,VEHICLE_CONDITION,PREMIUM_CHARGED,HAS_CLAIMED_IN_NEXT_12_MONTHS,CLIENT_CLASS,FLAG_VEHICLE_CONDITION,VEHICLE_AGE,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,FLAG_VEHICLE_TYPE_ON_SEATING_CAPACITY,POLICY_HISTORY_AGE
16545,2018,F&T,Cash,100865.0,0.3,0.15,0.08,0.23,0.23,Renewal,Broker,M,L,Business executive,N,N,1,Y,2,2018,12,Individual,Renewal,Y,33000,GMC,2000,No Additional Perils,N,1555,Y,2,Y,N,O,N,N,Y,New,5305.3678755,0,EXPERIENCED,OLD,18,0,MICRO,0
16546,2019,TP,Cash,95821.75,0.35,0.15,0.08,0.23,0.23,Policy Downgrade,Broker,M,L,Business executive,N,N,1,Y,2,2018,12,Individual,Renewal,Y,33000,GMC,2000,No Additional Perils,N,1555,Y,2,Y,N,O,N,N,Y,New,4613.62952557904,0,EXPERIENCED,OLD,19,1,MICRO,1
16548,2019,F&T,Cash,70399.0,0.3,0.15,0.1,0.26,0.22,Renewal,Broker,M,M,Software Professional,N,N,2,N,3,2019,12,Corporate,Renewal,N,200000,Mazda,1997,Special Perils,N,1667,Y,5,Y,Y,O,N,Y,N,New,3671.599503,0,YOUNG,OLD,22,0,COMPACT,0
16551,2018,Comp,Credit Card,113979.0,0.3,0.15,0.08,0.2,0.25,Renewal,Broker,M,D,Waiter,N,Y,2,Y,5,2018,12,Individual,Renewal,Y,87000,Nissan,1995,No Additional Perils,N,1877,Y,5,N,N,O,Y,N,N,Second Hand,13953.9604885714,0,EXPERIENCED,OLD,24,0,COMPACT,0
16554,2019,Comp,Credit Card,57038.0,0.3,0.15,0.09,0.27,0.28,Renewal,Broker,M,D,Business executive,N,N,2,N,2,2019,12,Individual,Manual Review Required,Y,227000,GMC,1999,No Additional Perils,N,1414,Y,3,N,Y,O,Y,N,N,New,6173.67529578857,0,EXPERIENCED,OLD,20,0,COMPACT,0
16557,2018,F&T,Online payment,126004.0,0.3,0.15,0.09,0.3,0.4,Renewal,Broker,M,L,Waiter,N,N,3,N,4,2018,12,Individual,Renewal,Y,108000,Chevrolet,2004,No Additional Perils,N,1174,Y,4,N,Y,O,N,N,Y,New,4738.38042,0,SENIORCITIZEN,OLD,14,0,COMPACT,0
16558,2019,TP,Online payment,119703.8,0.35,0.15,0.09,0.3,0.4,Policy Downgrade,Broker,M,L,Waiter,N,N,3,N,4,2018,12,Individual,Renewal,Y,108000,Chevrolet,2004,No Additional Perils,N,1174,Y,4,N,Y,O,N,N,Y,New,3151.0229793,0,SENIORCITIZEN,OLD,15,1,COMPACT,1
16560,2019,Comp,Credit Card,124826.0,0.3,0.15,0.12,0.24,0.3,Renewal,Broker,M,M,Education Professional,N,Y,2,Y,5,2019,12,Individual,Renewal,Y,227000,Isuzu,2009,No Additional Perils,N,1123,Y,4,Y,N,O,Y,N,Y,New,14051.8126112,0,EXPERIENCED,NEW,10,0,COMPACT,0
16563,2019,TP,Online payment,79885.0,0.3,0.1,0.1,0.26,0.31,Renewal,Cash Salesmen,F,M,Business executive,N,N,3,N,4,2019,12,Individual,Renewal,Y,75000,Suzuki,2002,Special Perils,N,1163,Y,6,Y,N,O,Y,Y,N,New,1407.2301945,0,EXPERIENCED,OLD,17,0,SUV,0
16566,2019,TP,Credit Card,104171.0,0.3,0.0,0.08,0.29,0.35,Renewal,Direct,M,M,Driver for Uber,N,N,3,N,4,2019,12,Individual,Renewal,Y,102000,GMC,2002,No Additional Perils,N,1539,Y,3,Y,N,O,Y,N,Y,New,1525.89784971,0,EXPERIENCED,OLD,17,0,COMPACT,0
16572,2018,TP,Credit Card,81570.0,0.3,0.0,0.08,0.29,0.26,Renewal,Direct,F,L,Sales Person,N,N,1,N,5,2018,12,Individual,Renewal,Y,219000,Kia,2010,Riot & Srike,N,1000,Y,5,Y,Y,O,N,Y,Y,New,1360.27730772,0,EXPERIENCED,NEW,8,0,COMPACT,0
16573,2019,Comp,Credit Card,77491.5,0.35,0.0,0.08,0.29,0.26,Policy Upgrade,Direct,F,L,Sales Person,N,N,1,N,5,2018,12,Individual,Renewal,Y,219000,Kia,2010,Riot & Srike,N,1000,Y,5,Y,Y,O,N,Y,Y,New,5101.78165760769,0,EXPERIENCED,NEW,9,1,COMPACT,1
16578,2019,Comp,Credit Card,94322.0,0.3,0.1,0.11,0.27,0.37,Renewal,Cash Salesmen,M,S,Business executive,N,N,1,N,3,2019,12,Individual,Renewal,Y,100000,Mercedes-Benz,2006,Special Perils,N,1258,Y,5,N,N,O,Y,N,Y,New,8701.45492491,0,EXPERIENCED,OLD,14,0,COMPACT,0
16581,2019,TP,Cash,138182.0,0.3,0.15,0.1,0.27,0.4,Renewal,Broker,M,M,Driver for Uber,N,Y,3,N,4,2019,12,Individual,Renewal,Y,189000,Mercedes-Benz,2008,Riot & Special Perils,N,1689,Y,3,N,N,O,N,N,N,New,2157.6704754,0,YOUNG,OLD,11,0,COMPACT,0
16584,2018,Comp,Online payment,113334.0,0.3,0.15,0.1,0.22,0.33,Renewal,Broker,M,M,Driver for Uber,N,N,1,N,3,2018,12,Individual,Renewal,Y,102000,Volvo,2000,Special Perils,N,1785,Y,4,Y,N,R,Y,N,N,New,12308.9199764143,0,EXPERIENCED,OLD,18,0,COMPACT,0
16585,2019,Comp,Online payment,107667.3,0.35,0.15,0.1,0.22,0.33,Renewal,Broker,M,M,Driver for Uber,N,N,1,N,3,2018,12,Individual,Renewal,Y,102000,Volvo,2000,Special Perils,N,1785,Y,4,Y,N,R,Y,N,N,New,12592.97197587,0,EXPERIENCED,OLD,19,0,COMPACT,1
16587,2018,TP,Debit Card,113741.0,0.3,0.15,0.12,0.2,0.28,Renewal,Broker,M,S,Govt. Officer,N,Y,2,N,3,2018,12,Individual,No renewal - Report,Y,248000,Honda,2012,Special Perils,N,1606,Y,5,N,Y,O,N,N,Y,Second Hand,2365.74000576,0,EXPERIENCED,NEW,6,0,COMPACT,0
16588,2019,Comp,Debit Card,108053.95,0.35,0.15,0.12,0.2,0.28,Policy Upgrade,Broker,M,S,Govt. Officer,N,Y,2,N,3,2018,12,Individual,No renewal - Report,Y,248000,Honda,2012,Special Perils,N,1606,Y,5,N,Y,O,N,N,Y,Second Hand,10277.4267766154,0,EXPERIENCED,NEW,7,1,COMPACT,1
16590,2019,Comp,Credit Card,121083.0,0.3,0.15,0.11,0.27,0.36,Renewal,Broker,F,L,Driver for Uber,N,N,4,Y,5,2019,12,Individual,Renewal,Y,175000,Volkswagen,2007,No Additional Perils,N,1583,Y,2,Y,N,O,N,N,Y,New,11863.3304096229,0,EXPERIENCED,OLD,13,0,MICRO,0
16593,2019,Comp,Credit Card,78599.0,0.3,0.15,0.08,0.21,0.37,Renewal,Broker,M,S,Business executive,N,N,2,Y,2,2019,12,Individual,Renewal,Y,23000,Hyundai,1998,Fire Expl Thft/Brand Expl Dief,N,1389,N,5,Y,N,O,N,N,N,New,7981.89586587,0,EXPERIENCED,OLD,21,0,COMPACT,0
16596,2019,F&T,Cash,89805.0,0.3,0.15,0.12,0.27,0.26,Renewal,Broker,M,S,Chef,N,N,1,Y,4,2019,12,Individual,Renewal,Y,150000,Chrysler,2011,No Additional Perils,N,1424,Y,6,N,N,O,N,N,Y,New,4463.164812,0,EXPERIENCED,NEW,8,0,SUV,0
16602,2019,Comp,Cash,71576.0,0.3,0.0,0.08,0.31,0.32,Renewal,Assumed Business,M,S,Driver for Uber,N,N,3,N,4,2019,12,Individual,Manual Review Required,Y,245000,Hummer,2004,Special Perils,N,1309,Y,3,Y,N,O,N,N,Y,Second Hand,5958.66518948571,0,EXPERIENCED,OLD,15,0,COMPACT,0
16608,2018,F&T,Cash,114832.0,0.3,0.15,0.07,0.24,0.26,Renewal,Broker,M,L,Doctor,N,N,1,Y,6,2018,12,Individual,Renewal,Y,169000,Infiniti,2002,No Additional Perils,N,2000,Y,6,Y,N,O,Y,N,N,New,5676.25403017143,0,EXPERIENCED,OLD,16,0,SUV,0
16609,2019,TP,Cash,109090.4,0.35,0.15,0.07,0.24,0.26,Policy Downgrade,Broker,M,L,Doctor,N,N,1,Y,6,2018,12,Individual,Renewal,Y,169000,Infiniti,2002,No Additional Perils,N,2000,Y,6,Y,N,O,Y,N,N,New,4645.79560623262,0,EXPERIENCED,OLD,17,1,SUV,1
16611,2018,Comp,Credit Card,109098.0,0.3,0.1,0.12,0.26,0.21,Renewal,Cash Salesmen,M,S,Driver for Uber,N,N,2,N,2,2018,12,Corporate,Manual Review Required,Y,119000,Buick,2000,No Additional Perils,N,1386,Y,3,Y,N,O,N,N,N,Second Hand,12908.80701792,0,EXPERIENCED,OLD,18,0,COMPACT,0
16612,2019,Comp,Credit Card,103643.1,0.35,0.1,0.12,0.26,0.21,Renewal,Cash Salesmen,M,S,Driver for Uber,N,N,2,N,2,2018,12,Corporate,Manual Review Required,Y,119000,Buick,2000,No Additional Perils,N,1386,Y,3,Y,N,O,N,N,N,Second Hand,13206.7025644874,0,EXPERIENCED,OLD,19,0,COMPACT,1
16617,2019,TP,Cash,100664.0,0.3,0.1,0.13,0.27,0.35,Renewal,Cash Salesmen,F,D,Clerical assistant,N,N,2,Y,3,2019,12,Individual,Renewal,Y,36000,Jeep,2012,Fire Expl Thft/Brand Expl Dief,N,1299,Y,5,Y,N,O,N,N,Y,Second Hand,1680.85274292,0,YOUNG,NEW,7,0,COMPACT,0
16620,2018,Comp,Debit Card,17734.0,0.3,0.0,0.14,0.3,0.25,Renewal,Direct,M,M,Rideshare driver,N,N,3,N,3,2018,12,Corporate,Renewal,Y,249000,BMW,1999,Special Perils,N,1192,Y,6,Y,N,O,N,N,N,New,1743.69555,0,EXPERIENCED,OLD,19,0,SUV,0
16621,2019,Comp,Debit Card,16847.3,0.35,0.0,0.14,0.3,0.25,Renewal,Direct,M,M,Rideshare driver,N,N,3,N,3,2018,12,Corporate,Renewal,Y,249000,BMW,1999,Special Perils,N,1192,Y,6,Y,N,O,N,N,N,New,1783.93467807692,0,EXPERIENCED,OLD,20,0,SUV,1
16623,2018,Comp,Cash,125700.0,0.3,0.1,0.08,0.25,0.28,Renewal,Cash Salesmen,F,D,Social Worker,N,N,2,Y,4,2018,12,Corporate,No Renewal - Don't Report,Y,131000,Ford,1998,Fire Expl Thft/Brand Expl Dief,N,1008,Y,4,Y,N,O,N,N,N,Second Hand,13247.8462285714,0,YOUNG,OLD,20,0,COMPACT,0
16624,2019,Comp,Cash,119415.0,0.35,0.1,0.08,0.25,0.28,Renewal,Cash Salesmen,F,D,Social Worker,N,N,2,Y,4,2018,12,Corporate,No Renewal - Don't Report,Y,131000,Ford,1998,Fire Expl Thft/Brand Expl Dief,N,1008,Y,4,Y,N,O,N,N,N,Second Hand,13553.5657569231,0,EXPERIENCED,OLD,21,0,COMPACT,1
16626,2018,TP,Credit Card,70616.0,0.3,0.15,0.12,0.28,0.36,Renewal,Broker,M,M,Govt. Officer,N,N,1,N,2,2018,12,Individual,Manual Review Required,Y,50000,Mazda,2010,No Additional Perils,N,1121,Y,6,Y,N,O,Y,N,Y,New,1175.014084608,0,YOUNG,NEW,8,0,SUV,0
16627,2019,Comp,Credit Card,67085.2,0.35,0.15,0.12,0.28,0.36,Policy Upgrade,Broker,M,M,Govt. Officer,N,N,1,N,2,2018,12,Individual,Manual Review Required,Y,50000,Mazda,2010,No Additional Perils,N,1121,Y,6,Y,N,O,Y,N,Y,New,4134.713942016,0,YOUNG,NEW,9,1,SUV,1
16629,2018,TP,Cash,120036.0,0.3,0.15,0.07,0.18,0.3,Renewal,Broker,M,S,Business executive,N,N,1,Y,6,2018,12,Individual,No renewal - Report,Y,77000,Lincoln,2010,Riot & Special Perils,N,1981,Y,6,N,N,O,N,Y,Y,Second Hand,2408.76721344,0,EXPERIENCED,NEW,8,0,SUV,0
16630,2019,Comp,Cash,114034.2,0.35,0.15,0.07,0.18,0.3,Policy Upgrade,Broker,M,S,Business executive,N,N,1,Y,6,2018,12,Individual,No renewal - Report,Y,77000,Lincoln,2010,Riot & Special Perils,N,1981,Y,6,N,N,O,N,Y,Y,Second Hand,4440.19949881308,0,EXPERIENCED,NEW,9,1,SUV,1
16632,2019,Comp,Credit Card,85722.0,0.3,0.15,0.11,0.33,0.26,Renewal,Broker,M,M,Doctor,N,N,3,Y,2,2019,12,Individual,Renewal,Y,182000,Acura,2002,Riot & Special Perils,N,1411,Y,2,N,Y,R,N,N,Y,Second Hand,8912.90827323,0,EXPERIENCED,OLD,17,0,MICRO,0
16641,2018,TP,Credit Card,118637.0,0.3,0.15,0.13,0.29,0.35,Renewal,Broker,F,S,Driver for Uber,N,Y,4,N,5,2018,12,Individual,Renewal,Y,77000,Ford,2004,Riot & Srike,N,1143,Y,2,Y,N,O,N,Y,Y,New,1989.65044967,0,EXPERIENCED,OLD,14,0,MICRO,0
16642,2019,Comp,Credit Card,112705.15,0.35,0.15,0.13,0.29,0.35,Policy Upgrade,Broker,F,S,Driver for Uber,N,Y,4,N,5,2018,12,Individual,Renewal,Y,77000,Ford,2004,Riot & Srike,N,1143,Y,2,Y,N,O,N,Y,Y,New,7019.11191071812,0,EXPERIENCED,OLD,15,1,MICRO,1
16644,2018,TP,Credit Card,100565.0,0.3,0.15,0.1,0.17,0.34,Renewal,Broker,F,S,Govt. Officer,N,N,2,N,3,2018,12,Corporate,Renewal,Y,10000,Chevrolet,1995,Special Perils,N,1263,Y,3,Y,N,R,N,N,Y,New,1963.94092455,0,EXPERIENCED,OLD,23,0,COMPACT,0
16645,2019,Comp,Credit Card,95536.75,0.35,0.15,0.1,0.17,0.34,Policy Upgrade,Broker,F,S,Govt. Officer,N,N,2,N,3,2018,12,Corporate,Renewal,Y,10000,Chevrolet,1995,Special Perils,N,1263,Y,3,Y,N,R,N,N,Y,New,6875.01156156058,0,EXPERIENCED,OLD,24,1,COMPACT,1
16647,2018,TP,Online payment,98718.0,0.3,0.15,0.1,0.29,0.28,Renewal,Broker,M,L,Secretary,N,N,2,N,4,2018,12,Individual,Renewal,Y,96000,Acura,2002,Riot & Srike,N,1474,Y,4,Y,Y,O,N,N,Y,New,1799.06447304,0,EXPERIENCED,OLD,16,0,COMPACT,0
16648,2019,Comp,Online payment,93782.1,0.35,0.15,0.1,0.29,0.28,Policy Upgrade,Broker,M,L,Secretary,N,N,2,N,4,2018,12,Individual,Renewal,Y,96000,Acura,2002,Riot & Srike,N,1474,Y,4,Y,Y,O,N,N,Y,New,8513.74896562384,0,EXPERIENCED,OLD,17,1,COMPACT,1
16656,2018,Comp,Credit Card,125005.0,0.3,0.15,0.14,0.14,0.29,Renewal,Broker,F,M,Business executive,N,N,2,N,4,2018,12,Corporate,Renewal,Y,210000,GMC,2003,Riot & Special Perils,N,1498,Y,3,Y,N,O,Y,N,N,New,16439.4270150643,0,EXPERIENCED,OLD,15,0,COMPACT,0
16657,2019,Comp,Credit Card,118754.75,0.35,0.15,0.14,0.14,0.29,Renewal,Broker,F,M,Business executive,N,N,2,N,4,2018,12,Corporate,Renewal,Y,210000,GMC,2003,Riot & Special Perils,N,1498,Y,3,Y,N,O,Y,N,N,New,16818.7984077196,0,EXPERIENCED,OLD,16,0,COMPACT,1
16659,2019,Comp,Credit Card,73774.0,0.3,0.0,0.08,0.27,0.34,Renewal,Direct,M,S,Govt. Officer,N,N,2,N,5,2019,12,Corporate,Renewal,Y,184000,Nissan,2010,Riot & Srike,N,1950,Y,6,Y,N,O,N,N,Y,Second Hand,6306.57671348571,0,EXPERIENCED,NEW,10,0,SUV,0
16662,2019,TP,Cash,134675.0,0.3,0.1,0.11,0.27,0.26,Renewal,Cash Salesmen,M,M,Business executive,N,Y,2,N,4,2019,12,Corporate,Renewal,Y,167000,Nissan,2012,Riot & Special Perils,N,1227,Y,6,N,N,O,N,N,N,New,2526.65733755,0,EXPERIENCED,NEW,7,0,SUV,0
16665,2018,Comp,Cash,130573.0,0.3,0.0,0.08,0.19,0.22,Renewal,Direct,F,D,Driver for Uber,N,N,3,N,5,2018,12,Individual,No Renewal - Don't Report,Y,164000,Mercury,2004,No Additional Perils,N,1549,Y,3,Y,N,O,Y,N,Y,New,14637.1512255429,0,EXPERIENCED,OLD,15,0,COMPACT,0
16671,2018,Comp,Cash,63485.0,0.3,0.15,0.08,0.24,0.26,Renewal,Broker,M,D,Waiter,N,N,3,Y,4,2018,12,Individual,Renewal,Y,13000,Mazda,2007,Special Perils,N,1455,Y,2,Y,N,R,N,N,Y,Second Hand,7285.13882588572,0,EXPERIENCED,OLD,11,0,MICRO,0
16672,2019,Comp,Cash,60310.75,0.35,0.15,0.08,0.24,0.26,Renewal,Broker,M,D,Waiter,N,N,3,Y,4,2018,12,Individual,Renewal,Y,13000,Mazda,2007,Special Perils,N,1455,Y,2,Y,N,R,N,N,Y,Second Hand,7453.25741417538,0,EXPERIENCED,OLD,12,0,MICRO,1
16677,2018,TP,Credit Card,102280.0,0.3,0.0,0.07,0.24,0.29,Renewal,Assumed Business,M,D,Secretary,N,N,2,N,4,2018,12,Individual,Renewal,Y,242000,Honda,2006,Special Perils,N,1472,Y,6,Y,Y,O,N,N,Y,New,1739.04597488,0,EXPERIENCED,OLD,12,0,SUV,0
16678,2019,Comp,Credit Card,97166.0,0.35,0.0,0.07,0.24,0.29,Policy Upgrade,Assumed Business,M,D,Secretary,N,N,2,N,4,2018,12,Individual,Renewal,Y,242000,Honda,2006,Special Perils,N,1472,Y,6,Y,Y,O,N,N,Y,New,7192.4266348718,0,EXPERIENCED,OLD,13,1,SUV,1
16680,2018,Comp,Credit Card,71696.0,0.3,0.15,0.09,0.36,0.25,Renewal,Broker,M,M,Driver for Uber,N,N,5,N,4,2018,12,Individual,Renewal,Y,18000,GMC,1998,Special Perils,N,1898,Y,6,Y,N,O,Y,N,Y,New,7086.96523885714,0,EXPERIENCED,OLD,21,0,SUV,0
16683,2019,TP,Cash,84177.0,0.3,0.1,0.11,0.27,0.23,Renewal,Cash Salesmen,F,L,Business executive,N,N,2,N,4,2019,12,Individual,Renewal,Y,216000,Lincoln,2007,No Additional Perils,N,1329,Y,3,Y,N,O,N,Y,Y,New,1643.280918741,0,EXPERIENCED,OLD,12,0,COMPACT,0
16688,2018,TP,Debit Card,140484.0,0.3,0.0,0.08,0.26,0.33,Renewal,Direct,M,M,Sales Person,N,N,3,N,4,2018,12,Individual,Renewal,Y,133000,Honda,2004,Special Perils,N,1241,Y,6,N,N,O,N,Y,Y,New,2210.753438928,0,EXPERIENCED,OLD,14,0,SUV,0
16689,2019,Comp,Debit Card,133459.8,0.35,0.0,0.08,0.26,0.33,Policy Upgrade,Direct,M,M,Sales Person,N,N,3,N,4,2018,12,Individual,Renewal,Y,133000,Honda,2004,Special Perils,N,1241,Y,6,N,N,O,N,Y,Y,New,7421.14921297846,0,EXPERIENCED,OLD,15,1,SUV,1
16691,2019,Comp,Credit Card,128883.0,0.3,0.15,0.13,0.23,0.26,Renewal,Broker,F,L,Driver for Uber,N,N,1,N,3,2019,12,Individual,Renewal,Y,56000,Mazda,2012,No Additional Perils,N,1585,Y,5,Y,N,O,N,N,Y,New,15678.126550185,0,YOUNG,NEW,7,0,COMPACT,0
16694,2018,Comp,Debit Card,102808.0,0.3,0.15,0.11,0.27,0.43,Renewal,Broker,M,L,Govt. Officer,N,N,1,N,5,2018,12,Individual,Renewal,Y,237000,Mercedes-Benz,2003,No Additional Perils,N,1671,Y,4,Y,N,O,N,Y,N,New,8971.09066545429,0,EXPERIENCED,OLD,15,0,COMPACT,0
16695,2019,Comp,Debit Card,97667.6,0.35,0.15,0.11,0.27,0.43,Renewal,Broker,M,L,Govt. Officer,N,N,1,N,5,2018,12,Individual,Renewal,Y,237000,Mercedes-Benz,2003,No Additional Perils,N,1671,Y,4,Y,N,O,N,Y,N,New,9178.11583465708,0,EXPERIENCED,OLD,16,0,COMPACT,1
16697,2019,TP,Cash,111022.0,0.3,0.15,0.09,0.19,0.38,Renewal,Broker,F,S,Govt. Officer,N,Y,1,N,6,2019,6,Individual,Manual Review Required,Y,90000,Chevrolet,1980,Riot & Srike,N,1236,Y,5,Y,N,O,N,N,Y,New,1974.850898328,0,EXPERIENCED,OLD,39,0,COMPACT,0
16700,2019,Comp,Debit Card,173246.0,0.3,0.15,0.12,0.32,0.3,Renewal,Broker,M,L,Education Professional,N,Y,2,N,4,2019,12,Individual,Renewal,Y,106000,Chevrolet,2002,Fire Expl Thft/Brand Expl Dief,N,1325,Y,6,Y,N,O,N,N,N,New,17449.6143136,0,EXPERIENCED,OLD,17,0,SUV,0
16703,2019,TP,Cash,90091.0,0.3,0.1,0.1,0.4,0.4,Renewal,Cash Salesmen,M,S,Social Worker,N,N,3,N,6,2019,12,Corporate,Renewal,Y,220000,Acura,1996,No Additional Perils,N,1662,Y,4,N,N,O,N,N,N,Second Hand,1118.93022,0,EXPERIENCED,OLD,24,0,COMPACT,0
16706,2019,Comp,Credit Card,101805.0,0.3,0.15,0.11,0.2,0.38,Renewal,Broker,F,M,Sales Person,N,N,2,N,4,2019,12,Individual,Manual Review Required,Y,47000,Mitsubishi,1996,No Additional Perils,N,1708,Y,4,Y,N,O,Y,N,N,New,10589.4012368571,0,YOUNG,OLD,23,0,COMPACT,0
16709,2019,TP,Online payment,73240.0,0.3,0.1,0.08,0.22,0.3,Renewal,Cash Salesmen,F,D,Sales Person,N,Y,1,Y,5,2019,12,Corporate,Renewal,Y,154000,Ford,2003,Riot & Special Perils,N,1031,Y,5,Y,N,O,N,N,Y,New,1361.2269216,0,YOUNG,OLD,16,0,COMPACT,0
16712,2019,TP,Cash,93485.0,0.3,0.0,0.09,0.21,0.31,Renewal,Direct,M,D,Software Professional,N,N,3,Y,5,2019,12,Individual,Renewal,Y,40000,Subaru,2002,Special Perils,N,1012,Y,3,Y,N,O,N,N,Y,Second Hand,1629.148791795,0,EXPERIENCED,OLD,17,0,COMPACT,0
16715,2018,Comp,Credit Card,66616.0,0.3,0.0,0.08,0.24,0.26,Renewal,Assumed Business,F,S,Lawyer,N,N,5,Y,5,2018,12,Individual,Renewal,Y,230000,Nissan,2001,Special Perils,N,1884,Y,3,Y,N,O,Y,N,N,New,6647.33275611429,0,EXPERIENCED,OLD,18,0,COMPACT,0
16718,2019,Comp,Cash,72458.0,0.3,0.1,0.1,0.27,0.38,Renewal,Cash Salesmen,F,M,Clerical assistant,N,Y,2,N,5,2019,12,Individual,No Renewal - Don't Report,Y,42000,Acura,2002,No Additional Perils,N,1230,Y,3,Y,N,O,N,N,Y,New,6519.07627831429,0,EXPERIENCED,OLD,17,0,COMPACT,0
16727,2019,F&T,Credit Card,117723.0,0.3,0.15,0.1,0.22,0.23,Renewal,Broker,F,S,Govt. Officer,N,N,3,Y,3,2019,12,Individual,Manual Review Required,Y,216000,Ford,2001,Special Perils,N,1608,Y,4,Y,N,O,N,N,N,New,6388.6506255,0,EXPERIENCED,OLD,18,0,COMPACT,0
16730,2019,Comp,Credit Card,102794.0,0.3,0.15,0.1,0.22,0.31,Renewal,Broker,M,D,Driver for Uber,N,Y,1,Y,3,2019,12,Individual,Renewal,Y,232000,Buick,2000,Special Perils,N,1678,Y,3,Y,N,O,N,N,Y,New,11497.4567687571,0,EXPERIENCED,OLD,19,0,COMPACT,0
16733,2018,TP,Cash,76084.0,0.3,0.15,0.07,0.23,0.28,Renewal,Broker,M,S,Rideshare driver,N,N,2,Y,2,2018,12,Individual,Renewal,Y,213000,Land Rover,2009,Special Perils,N,1811,Y,2,N,N,O,N,N,N,New,1474.646697216,0,EXPERIENCED,NEW,9,0,MICRO,0
16734,2019,Comp,Cash,72279.8,0.35,0.15,0.07,0.23,0.28,Policy Upgrade,Broker,M,S,Rideshare driver,N,N,2,Y,2,2018,12,Individual,Renewal,Y,213000,Land Rover,2009,Special Perils,N,1811,Y,2,N,N,O,N,N,N,New,3919.39350534092,0,EXPERIENCED,NEW,10,1,MICRO,1
16736,2019,Comp,Credit Card,152281.0,0.3,0.15,0.09,0.34,0.36,Renewal,Broker,F,D,Chef,N,N,2,Y,6,2019,12,Individual,Manual Review Required,Y,19000,Buick,2007,Special Perils,N,1259,Y,6,Y,N,O,N,N,Y,New,13246.2750378514,0,EXPERIENCED,OLD,12,0,SUV,0
16739,2019,TP,Credit Card,89929.0,0.3,0.15,0.11,0.3,0.26,Renewal,Broker,F,S,Business executive,N,Y,1,N,3,2019,12,Individual,Renewal,Y,160000,Pontiac,2003,Riot & Special Perils,N,1886,Y,3,N,N,O,N,Y,N,New,1671.40600536,0,EXPERIENCED,OLD,16,0,COMPACT,0
16748,2019,TP,Online payment,107737.0,0.3,0.15,0.09,0.26,0.35,Renewal,Broker,F,D,Govt. Officer,N,N,2,Y,5,2019,12,Individual,Renewal,Y,109000,Cadillac,2011,No Additional Perils,N,1315,Y,6,Y,N,O,Y,N,Y,New,1835.51742374,0,EXPERIENCED,NEW,8,0,SUV,0
16751,2019,Comp,Debit Card,141873.0,0.3,0.1,0.14,0.3,0.17,Renewal,Cash Salesmen,M,D,Govt. Officer,N,N,3,Y,3,2019,12,Individual,Renewal,Y,179000,Chevrolet,2004,No Additional Perils,N,1085,Y,4,N,N,R,N,N,Y,New,16981.3894239,0,YOUNG,OLD,15,0,COMPACT,0
16754,2019,Comp,Cash,131993.0,0.3,0.0,0.08,0.32,0.33,Renewal,Assumed Business,F,L,Sales Person,N,Y,2,N,2,2019,12,Individual,Renewal,Y,168000,Hyundai,2010,Special Perils,N,1841,Y,5,Y,N,O,N,N,N,Second Hand,10669.8464876571,0,EXPERIENCED,NEW,9,0,COMPACT,0
16757,2018,F&T,Online payment,72954.0,0.3,0.15,0.13,0.19,0.23,Renewal,Broker,M,M,Rideshare driver,N,N,1,N,4,2018,12,Individual,Renewal,Y,52000,Isuzu,2000,Special Perils,N,1049,Y,2,N,N,R,N,N,Y,New,4223.50585965,0,EXPERIENCED,OLD,18,0,MICRO,0
16758,2019,F&T,Online payment,69306.3,0.35,0.15,0.13,0.19,0.23,Renewal,Broker,M,M,Rideshare driver,N,N,1,N,4,2018,12,Individual,Renewal,Y,52000,Isuzu,2000,Special Perils,N,1049,Y,2,N,N,R,N,N,Y,New,4320.97137948808,0,EXPERIENCED,OLD,19,0,MICRO,1
16760,2019,F&T,Credit Card,99921.0,0.3,0.15,0.08,0.25,0.3,Renewal,Broker,M,L,Govt. Officer,N,N,1,N,3,2019,12,Corporate,Renewal,Y,162000,Volvo,2013,No Additional Perils,N,1007,Y,4,N,N,O,N,N,Y,New,4653.820575,0,EXPERIENCED,NEW,6,0,COMPACT,0
